uptime_1600020,temperature,humidity,aqi,winp,wind,weather,rtu3
2019/12/1 1:57,5℃,99%,45,3级,西北风,雨,1031
2019/12/1 2:53,5℃,98%,52,2级,西北风,雨,1050
2019/12/1 3:52,5℃,98%,58,2级,西北风,雨,1042
2019/11/30 1:10,7℃,80%,44,2级,东北风,多云,1031
2019/11/30 1:54,7℃,81%,46,2级,东北风,多云,960
2019/11/30 2:59,7℃,85%,47,2级,东北风,多云,996
2019/11/30 4:01,6℃,86%,51,2级,北风,多云,1003
2019/11/30 4:56,6℃,87%,51,2级,北风,多云,1015
2019/11/30 20:50,5℃,99%,58,2级,西北风,雨,1302
2019/11/30 21:35,5℃,99%,59,2级,西北风,阴,1302
2019/11/30 22:59,5℃,99%,59,3级,西北风,雨,1155
2019/11/29 21:04,8℃,68%,47,2级,东风,晴,1390
2019/11/29 22:06,8℃,69%,42,2级,东风,晴,1109
2019/11/29 22:59,8℃,74%,42,2级,东北风,多云,1129
2019/11/28 2:02,4℃,90%,98,1级,北风,阴,1008
2019/11/28 3:08,4℃,83%,78,2级,北风,阴,978
2019/11/28 4:04,3℃,74%,53,3级,东北风,阴,994
2019/11/27 2:03,5℃,99%,29,3级,东北风,雨,660
2019/11/27 3:02,5℃,99%,30,3级,东北风,雨,651
2019/11/27 4:00,4℃,99%,29,2级,东北风,雨,698
2019/11/27 4:56,3℃,97%,25,4级,东北风,雨,698
2019/11/27 21:04,3℃,93%,78,2级,西北风,阴,1320
2019/11/27 22:10,4℃,90%,82,2级,西北风,阴,1176
2019/11/27 23:03,4℃,91%,84,2级,西风,阴,948
2019/11/26 20:02,6℃,95%,32,2级,北风,雨,875
2019/11/26 21:08,6℃,95%,30,2级,东北风,雨,837
2019/11/26 22:07,5℃,97%,29,2级,东北风,雨,720
2019/11/26 23:04,5℃,98%,28,2级,东北风,雨,729
2019/10/13 1:05,17℃,98%,65,2级,北风,阴,849
2019/10/13 2:05,17℃,98%,79,2级,北风,阴,841
2019/10/13 3:05,17℃,97%,92,2级,北风,阴,863
2019/10/13 4:05,17℃,97%,100,1级,东北风,阴,834
2019/10/12 1:15,18℃,90%,93,2级,北风,多云,797
2019/10/12 2:15,18℃,93%,97,1级,西北风,多云,866
2019/10/12 3:15,18℃,94%,100,2级,西北风,多云,816
2019/10/12 4:15,17℃,96%,98,2级,西北风,多云,849
2019/10/12 20:05,18℃,99%,51,1级,西北风,阴,1132
2019/10/12 21:10,18℃,99%,48,1级,西北风,阴,1159
2019/10/12 22:05,18℃,95%,50,2级,北风,阴,1131
2019/10/12 23:05,17℃,96%,52,2级,北风,阴,939
2019/10/11 1:15,18℃,88%,48,2级,西北风,多云,863
2019/10/11 2:10,18℃,89%,48,2级,西北风,多云,846
2019/10/11 3:15,18℃,91%,38,2级,西北风,多云,868
2019/10/11 4:15,18℃,91%,38,1级,西北风,多云,831
2019/10/11 20:15,19℃,83%,63,1级,西北风,晴,1151
2019/10/11 21:15,18℃,87%,65,2级,西北风,晴,1174
2019/10/11 22:15,19℃,87%,84,2级,北风,晴,1116
2019/10/11 23:15,18℃,88%,92,2级,西北风,多云,938
2019/10/10 1:10,19℃,86%,82,2级,东南风,多云,842
2019/10/10 2:15,19℃,88%,77,1级,东南风,多云,883
2019/10/10 3:15,19℃,88%,79,2级,东南风,多云,885
2019/10/10 4:15,19℃,91%,79,1级,西南风,多云,873
2019/10/10 20:15,19℃,86%,73,1级,西风,晴,1190
2019/10/10 21:15,19℃,87%,67,2级,西风,晴,1163
2019/10/10 22:15,19℃,84%,65,2级,西北风,晴,1125
2019/10/10 23:15,18℃,87%,58,2级,西北风,多云,979
2019/10/9 1:15,14℃,99%,49,1级,南风,多云,1035
2019/10/9 2:15,14℃,99%,52,0级,无持续风向,多云,858
2019/10/9 3:15,14℃,99%,52,0级,无持续风向,多云,930
2019/10/9 4:15,13℃,99%,54,1级,东南风,雾,896
2019/10/9 20:15,19℃,84%,64,2级,东风,晴,1197
2019/10/9 21:15,19℃,80%,71,2级,东风,晴,1213
2019/10/9 22:15,20℃,82%,75,2级,东南风,晴,1127
2019/10/9 23:15,19℃,84%,75,2级,东南风,多云,978
2019/10/8 20:15,15℃,94%,56,2级,西南风,阴,1235
2019/10/8 21:15,14℃,95%,59,1级,西南风,阴,1250
2019/10/8 22:15,14℃,97%,57,0级,无持续风向,阴,1230
2019/10/8 23:15,14℃,97%,52,0级,无持续风向,多云,1225
2019/9/25 1:05,18℃,85%,97,0级,无持续风向,多云,588
2019/9/25 2:05,18℃,86%,97,1级,北风,多云,624
2019/9/25 3:05,18℃,90%,101,1级,西北风,多云,607
2019/9/25 4:05,18℃,92%,108,1级,东风,多云,588
2019/9/25 20:15,21℃,74%,64,1级,西北风,阴,821
2019/9/25 21:15,21℃,81%,74,1级,北风,阴,769
2019/9/24 1:15,14℃,95%,78,1级,东北风,多云,618
2019/9/24 2:15,13℃,94%,79,1级,东南风,多云,596
2019/9/24 3:05,14℃,96%,91,1级,北风,多云,621
2019/9/24 4:05,14℃,92%,90,1级,东北风,多云,602
2019/9/24 20:15,20℃,73%,76,0级,无持续风向,多云,649
2019/9/24 21:15,19℃,81%,81,1级,北风,多云,646
2019/9/24 22:15,19℃,90%,81,1级,东北风,多云,636
2019/9/24 23:15,19℃,82%,80,1级,北风,多云,627
2019/9/23 1:05,17℃,84%,71,2级,北风,晴,602
2019/9/23 2:05,17℃,80%,68,2级,北风,晴,623
2019/9/23 3:05,17℃,78%,68,1级,东北风,晴,575
